Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Status
sjokoladekake-2876-70,Sjokoladekake,<p>Sjokoladekake Diameter : 24cm Høyde : 10cm</p>,Varekompaniet,bakverk,Migrert,FALSE,Title,Default Title,2876-70,shopify,1,deny,manual,360,599,12,TRUE,TRUE,draft
blaveis-6818-60,Blåveis,<p>Blåveis 18cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6818-60,shopify,16,deny,manual,19,29,12,TRUE,TRUE,draft
bukett-20cm-6204-10,Bukett 20cm,<p>Blomsterbukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6204-10,shopify,7,deny,manual,79,119,12,TRUE,TRUE,draft
bukett-20cm-9264-51,Bukett 20cm,<p>Bukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9264-51,shopify,100,deny,manual,49,69,12,TRUE,TRUE,draft
bukett-20cm-9266-99,Bukett 20cm,<p>Bukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9266-99,shopify,45,deny,manual,49,79,12,TRUE,TRUE,draft
bukett-20cm-9273-10,Bukett 20cm,<p>Bukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9273-10,shopify,18,deny,manual,39,59,12,TRUE,TRUE,draft
bukett-20cm-hvit-6201-10,Bukett 20cm Hvit,<p>Blomsterbukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6201-10,shopify,4,deny,manual,59,99,12,TRUE,TRUE,draft
bukett-20cm-6201-20,Bukett 20cm,<p>Bukett med blomster Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6201-20,shopify,1,deny,manual,59,99,12,TRUE,TRUE,draft
bukett-21cm-1615-20,Bukett 21cm,<p>Bukett med blomster Høyde : 21cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,1615-20,shopify,2,deny,manual,59,99,12,TRUE,TRUE,draft
bukett-45cm-9289-99,Bukett 45cm,<p>Blomsterbukett Høyde : 45cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9289-99,shopify,6,deny,manual,270,449,12,TRUE,TRUE,draft
bukett-45cm-9286-10,Bukett 45cm,<p>Nydelig stor bukett. Høyde : 45cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9286-10,shopify,1,deny,manual,330,549,12,TRUE,TRUE,draft
bukett-65cm-9324-10,Bukett 65cm,<p>Bukett med blomster Høyde : 65cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9324-10,shopify,8,deny,manual,180,299,12,TRUE,TRUE,draft
bukett-65cm-9324-20,Bukett 65cm,<p>Bukett med blomster Høyde : 65cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9324-20,shopify,4,deny,manual,180,299,12,TRUE,TRUE,draft
coreopsis-mix-2463-99-1,Coreopsis Mix,<p>3 stk Coreopsis - Ass. farger Høyde : 14cm Potte Ø : 6cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,2463-99-1,shopify,4,deny,manual,89,149,12,TRUE,TRUE,draft
eucalyptus-26-cm-hostfarger-8866-96,Eucalyptus 26 cm Høstfarger,<p>Eucalyptus borddekorasjon Høyde : 12cm Ø : 26cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,8866-96,shopify,56,deny,manual,89,149,12,TRUE,TRUE,draft
eucalyptus-30-cm-9913-90,Eucalyptus 30 cm,<p>Eucalyptus borddekorasjon Høyde : 13 cm Ø : 30cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9913-90,shopify,24,deny,manual,140,229,12,TRUE,TRUE,draft
jadesten-1041-40,Jadesten,<p>Jadesten til f.eks bordpynt eller dekorasjon. Ca 500gram</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,1041-40,shopify,23,deny,manual,39,59,12,TRUE,TRUE,draft
lavendelbukett-28cm-2137-40,Lavendelbukett 28cm,<p>Lavendelbukett Lengde : 28cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,2137-40,shopify,21,deny,manual,59,89,12,TRUE,TRUE,draft
lavendelring-15cm-6263-40,Lavendelring 15cm,<p>Lavendelring Ø : 15cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6263-40,shopify,19,deny,manual,49,69,12,TRUE,TRUE,draft
lavendelring-9cm-6261-40,Lavendelring 9cm,<p>Lavendelring Ø : 9cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6261-40,shopify,25,deny,manual,19,29,12,TRUE,TRUE,draft
levkoybukett-28cm-1467-40,Levkøybukett 28cm,<p>Levkøybukett LEngde : 28cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,1467-40,shopify,1,deny,manual,79,129,12,TRUE,TRUE,draft
pinseliljebunt-20cm-9696-10,Pinseliljebunt 20cm,<p>Bunt av pinseliljer Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,9696-10,shopify,18,deny,manual,29,39,12,TRUE,TRUE,draft
pinseliljer-40cm-8085-10,Pinseliljer 40cm,<p>Pinseliljer Høyde : 40cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,8085-10,shopify,10,deny,manual,49,69,12,TRUE,TRUE,draft
rosebukett-25cm-7062-1,Rosebukett 25cm,<p>Rosebukett 25cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7062-1,shopify,1,deny,manual,120,199,12,TRUE,TRUE,draft
rosebukett-25cm-7062,Rosebukett 25cm,<p>Rosebukett Lengde : 25cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7062,shopify,7,deny,manual,150,249,12,TRUE,TRUE,draft
rosebukett-25cm-7091,Rosebukett 25cm,<p>Rosebukett 25cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7091,shopify,12,deny,manual,150,249,12,TRUE,TRUE,draft
rosebukett-med-is-27cm-1451-10,Rosebukett med is 27cm,<p>Litten søt Rosebukett med is Lengde : 27cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,1451-10,shopify,2,deny,manual,89,149,12,TRUE,TRUE,draft
rosebukett-37cm-6250-21,Rosebukett 37cm,<p>Rosebukett Høyde : 37cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6250-21,shopify,23,deny,manual,100,169,12,TRUE,TRUE,draft
tulipanbukett-20cm-hvit-7188,Tulipanbukett 20cm hvit,<p>Tulipanbukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7188,shopify,4,deny,manual,79,129,12,TRUE,TRUE,draft
tulipanbukett-20cm-lilla-7189,Tulipanbukett 20cm lilla,<p>Tulipanbukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7189,shopify,0,deny,manual,79,129,12,TRUE,TRUE,draft
tulipanbukett-20cm-rod-7191,Tulipanbukett 20cm rød,<p>Tulipanbukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7191,shopify,3,deny,manual,79,129,12,TRUE,TRUE,draft
tulipanbukett-20cm-rosa-7190,Tulipanbukett 20cm rosa,<p>Tulipanbukett Høyde : 20cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,7190,shopify,1,deny,manual,79,129,12,TRUE,TRUE,draft
tulipanbukett-30cm-gul-6288-50,Tulipanbukett 30cm gul,<p>Tulipanbukett Høyde : 30cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6288-50,shopify,5,deny,manual,59,99,12,TRUE,TRUE,draft
tulipanbukett-30cm-rosa-6288-20,Tulipanbukett 30cm rosa,<p>Tulipanbukett Høyde : 30cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6288-20,shopify,5,deny,manual,59,99,12,TRUE,TRUE,draft
tulipanbukett-30cm-oransje-6288-35,Tulipanbukett 30cm Oransje,<p>Tulipanbukett Høyde : 30cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6288-35,shopify,4,deny,manual,59,99,12,TRUE,TRUE,draft
tulipanbukett-30cm-rosa-6288-22,Tulipanbukett 30cm rosa,<p>Tulipanbukett Høyde : 30cm</p>,Varekompaniet,buketter-borddekorasjoner,Migrert,FALSE,Title,Default Title,6288-22,shopify,1,deny,manual,59,99,12,TRUE,TRUE,draft
24-stk-sma-epler-3740-80,24 stk små epler,<p>24 stk epler. Ø : 4cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3740-80,shopify,1,deny,manual,300,499,12,TRUE,TRUE,draft
agurk-24cm-6322-90,Agurk 24cm,<p>Agurk Lengde - 24cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,6322-90,shopify,11,deny,manual,49,79,12,TRUE,TRUE,draft
appelsin-849-004,Appelsin,<p>Appelsin Høyde&Bredde : 7cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,849-004,shopify,0,deny,manual,49,69,12,TRUE,TRUE,draft
appelsinkvist-75cm-6707,Appelsinkvist 75cm,<p>Appelsinkvist. Høyde : 75cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,6707,shopify,9,deny,manual,170,279,12,TRUE,TRUE,draft
artisjokk-6157-95,Artisjokk,<p>Artisjokk Høyde : 11cm Diameter : 11cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,6157-95,shopify,2,deny,manual,79,119,12,TRUE,TRUE,draft
artisjokk-5554-42,Artisjokk,<p>Artisjokk Høyde : 15cm Diameter : 13cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5554-42,shopify,1,deny,manual,89,149,12,TRUE,TRUE,draft
store-asparges-35cm-9963,Store Asparges 35cm,<p>Asparges Høyde : 35cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9963,shopify,3,deny,manual,49,69,12,TRUE,TRUE,draft
banan-20cm-1184-50,Banan 20cm,<p>Banan Lengde : 20cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,1184-50,shopify,1,deny,manual,49,69,12,TRUE,TRUE,draft
basilikum-25cm-5993-90,Basilikum 25cm,<p>Basilikum Høyde : 25cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5993-90,shopify,7,deny,manual,59,89,12,TRUE,TRUE,draft
basilikum-38cm-5995-90,Basilikum 38cm,<p>Basilikum Høyde : 38cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5995-90,shopify,2,deny,manual,89,149,12,TRUE,TRUE,draft
basilikum-i-potte-5998-90-1,Basilikum i potte,<p>Basilikum i potte Høyde : 38cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5998-90-1,shopify,2,deny,manual,230,389,12,TRUE,TRUE,draft
basilikum-9129-85,Basilikum,<p>Basilikum Høyde - 25cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9129-85,shopify,8,deny,manual,59,89,12,TRUE,TRUE,draft
blabaer-9604-75,Blåbær,"<p>Boks med blåbær Diameter - 1,5cm</p>",Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9604-75,shopify,89,deny,manual,79,129,12,TRUE,TRUE,draft
bonner-9278-90,Bønner,<p>Bunt med bønner Høyde - 7cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9278-90,shopify,7,deny,manual,59,89,12,TRUE,TRUE,draft
carambole-9258-50,Carambole,<p>Carambole Lengde - 12cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9258-50,shopify,10,deny,manual,59,89,12,TRUE,TRUE,draft
eple-gronn-8cm-1332-90,Eple Grønn 8cm,<p>Eple Diameter : 8cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,1332-90,shopify,7,deny,manual,39,59,12,TRUE,TRUE,draft
eple-gronn-rod-1332-96,Eple grønn/rød,<p>Eple Diameter : 8cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,1332-96,shopify,0,deny,manual,39,59,12,TRUE,TRUE,draft
eple-gronn-rod-1357-90,Eple Grønn/rød,<p>Eple Grønn/rød Høyde/bredde : 8cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,1357-90,shopify,100,deny,manual,29,45,12,TRUE,TRUE,draft
eple-rod-10x8cm-3154-85,Eple rød 10x8cm,<p>Eple Farge : Rød Mål : 10x8cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3154-85,shopify,4,deny,manual,49,79,12,TRUE,TRUE,draft
eple-rod-3152-85,Eple Rød,<p>Eple Farge : Rød Diameter : 7cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3152-85,shopify,0,deny,manual,29,49,12,TRUE,TRUE,draft
kirsebaer-1959-80,Kirsebær,<p>Kirsebær 6stk (x2) 2 moreller på hver kvist. En rød og en mørk rød Merk at bildet viser fler enn antallet i pakken.</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,1959-80,shopify,2,deny,manual,59,99,12,TRUE,TRUE,draft
kiwi-8554-90,Kiwi,<p>Kiwi Bredde : 7cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,8554-90,shopify,100,deny,manual,29,49,12,TRUE,TRUE,draft
lime-halv-8558-90,Lime halv,<p>Halv Lime Bredde : 5cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,8558-90,shopify,14,deny,manual,19,30,12,TRUE,TRUE,draft
lime-8556-90,Lime,<p>Lime Bredde : 6cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,8556-90,shopify,80,deny,manual,29,39,12,TRUE,TRUE,draft
sotpaprika-gronn-19cm-4491,Søtpaprika grønn 19cm,<p>Søtpaprika Lengde : 19cm Bredde : 5cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,4491,shopify,36,deny,manual,59,89,12,TRUE,TRUE,draft
sotpraprika-rod-19cm-4492,Søtpraprika rød 19cm,<p>Søtpaprika Lengde : 19cm Bredde : 5cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,4492,shopify,9,deny,manual,59,89,12,TRUE,TRUE,draft
maiskolbe-6326-50,Maiskolbe,<p>Maiskolbe Lengde : 15cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,6326-50,shopify,26,deny,manual,39,59,12,TRUE,TRUE,draft
melon-1791-31,Melon,<p>Melon Diameter - 14cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,1791-31,shopify,1,deny,manual,150,249,12,TRUE,TRUE,draft
mynte-25cm-5994-90,Mynte 25cm,<p>Mynte Høyde : 25cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5994-90,shopify,17,deny,manual,59,89,12,TRUE,TRUE,draft
mynte-38cm-5996-90,Mynte 38cm,<p>Mynte Høyde : 38cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5996-90,shopify,8,deny,manual,100,169,12,TRUE,TRUE,draft
oliven-gronne-9937-90,Oliven Grønne,<p>Oliven GRønne Bredde : 3-5cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9937-90,shopify,2,deny,manual,59,99,12,TRUE,TRUE,draft
paprika-gronn-6124,Paprika Grønn,<p>Paprika Lengde : 11cm Merk : Den grønne på bildet.</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,6124,shopify,1,deny,manual,59,89,12,TRUE,TRUE,draft
plomme-3158-85,Plomme,<p>Plomme Diameter - 5cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3158-85,shopify,0,deny,manual,29,39,12,TRUE,TRUE,draft
pose-med-jordbaer-5954-80,Pose med jordbær,"<p>Pose med jordbær 6 Stk. Bredde : 4,5-5cm</p>",Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5954-80,shopify,1,deny,manual,79,119,12,TRUE,TRUE,draft
rambutan-8559-80,Rambutan,<p>Rambutan Bredde : 6cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,8559-80,shopify,3,deny,manual,29,39,12,TRUE,TRUE,draft
rod-lok-5410-85,Rød Løk,<p>Rød Løk Høyde : 11cm Bredde : 6cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5410-85,shopify,1,deny,manual,29,49,12,TRUE,TRUE,draft
rodkal-2738-80,Rødkål,<p>Rødkål Høyde : 11cm Bredde : 15cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,2738-80,shopify,1,deny,manual,89,149,12,TRUE,TRUE,draft
rosmarin-25cm-9534-90,Rosmarin 25cm,<p>Rosmankvist Høyde : 25cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9534-90,shopify,1,deny,manual,49,79,12,TRUE,TRUE,draft
salat-15cm-3301,Salat 15cm,<p>Salat Lengde : 15cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3301,shopify,3,deny,manual,170,279,12,TRUE,TRUE,draft
salatblader-6-stk-9277-96,Salatblader 6 stk,<p>6 stk salatblader Høyde - 20-26cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9277-96,shopify,19,deny,manual,89,149,12,TRUE,TRUE,draft
salatblader-6-stk-3479-90,Salatblader 6 stk.,<p>Salatblader 6stk Høyde : 16cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3479-90,shopify,42,deny,manual,59,99,12,TRUE,TRUE,draft
sitrusbusk-32cm-801-1,Sitrusbusk 32cm,<p>Sitrusbusk i potte. Høyde : 32cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,801-1,shopify,1,deny,manual,170,279,12,TRUE,TRUE,draft
sitrusmix-skivet-5-stk-9257-99,Sitrusmix skivet 5 stk,<p>Mix av sitron- og limeskiver Diameter - 5cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9257-99,shopify,8,deny,manual,100,169,12,TRUE,TRUE,draft
sma-tomater-pa-kvist-3312,Små tomater på kvist,<p>Små tomater på kvist.</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,3312,shopify,1,deny,manual,79,129,12,TRUE,TRUE,draft
sma-tomater-9134-80,Små Tomater,<p>Kvist-tomater</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,9134-80,shopify,1,deny,manual,110,179,12,TRUE,TRUE,draft
tomater-5409-80,Tomater,"<p>Tomater Lengde/Bredde : 4,5-5,5cm</p>",Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,5409-80,shopify,1,deny,manual,39,59,12,TRUE,TRUE,draft
vindrueklaser-3-stk-6324-99,Vindrueklaser 3 stk,<p>3 stk vindrueklaser i forskjellige farger Lengde : 14cm</p>,Varekompaniet,frukt-gront,Migrert,FALSE,Title,Default Title,6324-99,shopify,7,deny,manual,140,229,12,TRUE,TRUE,draft
dekorstjerne-20cm-1296-90,Dekorstjerne 20cm,<p>Dekorstjerne til å henge opp. Fin i vinduet. Lik på begge sider. Høyde : 20cm Bredde : 20cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,1296-90,shopify,1,deny,manual,120,199,12,TRUE,TRUE,draft
engel-21cm-1216-10,Engel 21cm,<p>Hengende engel Høyde : 21cm Bredde : 13cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,1216-10,shopify,20,deny,manual,59,99,12,TRUE,TRUE,draft
englevinger-13cm-rosa-1243-20,Englevinger 13cm rosa,<p>Englevinger Høyde : 7cm Bredde : 13cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,1243-20,shopify,100,deny,manual,19,19,12,TRUE,TRUE,draft
englevinger-23cm-rosa-1244-20,Englevinger 23cm rosa,<p>Englevinger Høyde : 15cm Bredde : 23cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,1244-20,shopify,100,deny,manual,19,29,12,TRUE,TRUE,draft
hjerte-11cm-5797-70,Hjerte 11cm,<p>Hjerte Bredde : 11m</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5797-70,shopify,44,deny,manual,29,35,12,TRUE,TRUE,draft
hjerte-av-mose-15cm-1834-90,Hjerte av mose 15cm,<p>Hjerte av mose Diameter : 15cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,1834-90,shopify,1,deny,manual,59,99,12,TRUE,TRUE,draft
hjerte-i-tre-10cm-lilla-5756-76,Hjerte i tre 10cm lilla,<p>Søtt hjerte i tre Bredde : 10cm Farge : Lilla</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5756-76,shopify,7,deny,manual,29,39,12,TRUE,TRUE,draft
hjerte-i-tre-15cm-lilla-5757-76,Hjerte i tre 15cm lilla,<p>Søtt hjerte i tre Bredde : 15cm Farge : Lilla</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5757-76,shopify,11,deny,manual,39,59,12,TRUE,TRUE,draft
hjertedekorasjon-10cm-6012-70,Hjertedekorasjon 10cm,<p>Hjertedekorasjon Høyde : 10cm Diameter : 10cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,6012-70,shopify,100,deny,manual,19,29,12,TRUE,TRUE,draft
julestjerne-10cm-1462-10-1,Julestjerne 10cm,<p>Julestjerne i potte. Høyde 10cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,1462-10-1,shopify,1,deny,manual,29,49,12,TRUE,TRUE,draft
julestjerne-15cm-k-rod-3080-80-1,Julestjerne 15cm K rød,<p>Julestjerne i potte Høyde : 15cm Farge : Rød</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,3080-80-1,shopify,4,deny,manual,39,59,12,TRUE,TRUE,draft
julestjerne-26cm-hvit-7691-10-1,Julestjerne 26cm Hvit,<p>Julestjerne i potte Høyde : 26cm Farge : Hvit</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,7691-10-1,shopify,1,deny,manual,79,129,12,TRUE,TRUE,draft
julestjerne-26cm-rod-7691-80-1,Julestjerne 26cm Rød,<p>Julestjerne i potte Høyde : 26cm Farge : Rød</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,7691-80-1,shopify,1,deny,manual,79,129,12,TRUE,TRUE,draft
julestjerne-27cm-hvit-6989-10-1,Julestjerne 27cm Hvit,<p>Julestjerne Høyde : 27cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,6989-10-1,shopify,2,deny,manual,59,99,12,TRUE,TRUE,draft
julestjerne-35cm-hvit-6595-10-1,Julestjerne 35cm hvit,<p>Julestjerne i potte Høyde : 35cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,6595-10-1,shopify,10,deny,manual,120,199,12,TRUE,TRUE,draft
julestjerne-38cm-hvit-3070-10-1,Julestjerne 38cm Hvit,<p>Julestjerne i potte Høyde : 38cm Farge : Hvit</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,3070-10-1,shopify,7,deny,manual,210,349,12,TRUE,TRUE,draft
julestjerne-38cm-rod-3070-80-1,Julestjerne 38cm rød,<p>Stor og flott Julestjerne i potte Høyde : 38cm Farge : Rød</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,3070-80-1,shopify,10,deny,manual,210,349,12,TRUE,TRUE,draft
lyslykt-35cm-4355-02,Lyslykt 35cm,<p>Lyslykt i metall Høyde : 35cm Diameter : 20cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,4355-02,shopify,10,deny,manual,300,499,12,TRUE,TRUE,draft
